Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
587876,Inside the Criminal Mind,Stanton E. Samenow,"Samenow, Stanton E.",,"=""140004619X""","=""9781400046195""",4,3.79,Crown,Hardcover,288,2004,1984,,2020/06/30,,,read,,,,2,0
7048818,How an Economy Grows and Why It Crashes,Peter D. Schiff,"Schiff, Peter D.",,"=""047052670X""","=""9780470526705""",5,4.16,Wiley,Hardcover,256,2010,2010,2020/06/30,2020/06/30,,,read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",5,4.36,Harper Business,Hardcover,274,2016,2016,2020/06/06,2020/05/19,,,read,,,,1,0
7865083,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""039333869X""","=""9780393338690""",3,4.15,W. W. Norton & Company,Paperback,310,2010,1989,,2020/05/19,,,read,,,,1,0
5470,1984,George Orwell,"Orwell, George",,"=""""","=""""",5,4.20,New American Library,Mass Market Paperback,328,1950,1949,2020/05/20,2020/05/19,,,read,,,,1,0
43090444,Dark Agenda: The War to Destroy Christian America,David Horowitz,"Horowitz, David",,"=""1630061131""","=""9781630061135""",5,4.42,Humanix Books,Kindle Edition,189,2019,2019,,2020/05/17,,,read,,,,1,0
29947651,"Endurance: A Year in Space, A Lifetime of Discovery",Scott    Kelly,"Kelly, Scott",Margaret Lazarus Dean,"=""1524731595""","=""9781524731595""",5,4.21,Alfred A. Knopf,Hardcover,400,2017,2017,,2020/05/06,,,read,,,,1,0
8680417,Midnight Riot (Rivers of London #1),Ben Aaronovitch,"Aaronovitch, Ben",,"=""""","=""""",4,3.86,Del Rey,Mass Market Paperback,310,2011,2011,,2020/04/26,,,read,,,,1,0
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316204366""","=""9780316204361""",4,3.97,"Little, Brown and Company",Hardcover,305,2013,2013,2020/04/15,2020/04/15,,,read,,,,1,0
40940205,Tribe: On Homecoming and Belonging,Sebastian Junger,"Junger, Sebastian",,"=""""","=""""",5,4.02,Twelve,Kindle Edition,182,2016,2016,2020/03/26,2020/03/26,,,read,,,,1,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",4,4.31,Scribner,Hardcover,544,2014,2014,2019/12/30,2020/03/26,,,read,,,,1,0
8664353,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"Hillenbrand, Laura",,"=""1400064163""","=""9781400064168""",5,4.39,Random House,Hardcover,475,2010,2010,,2019/06/29,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.34,Scholastic Press,Hardcover,374,2008,2008,,2019/04/21,,,read,,,,1,0
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0385732554""","=""9780385732550""",0,4.12,Ember,Paperback,208,2006,1993,,2019/04/21,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",0,3.74,Washington Square Press,Mass Market Paperback,281,2002,1597,,2019/04/21,,,read,,,,1,0
7493,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,"Ellis, Joseph J.",,"=""0375705244""","=""9780375705243""",5,3.95,Vintage Books,Unknown Binding,288,2000,2000,,2018/12/30,,,read,,,,1,0
16085481,"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,"=""0385536976""","=""9780385536974""",4,3.91,Doubleday,Hardcover,403,2013,2013,,2018/12/30,,,read,,,,1,0
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,"=""0316322407""","=""9780316322409""",5,4.16,"Little, Brown and Company",Hardcover,327,2013,2012,2018/01/01,2018/12/27,,,read,,,,1,0
22609522,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""147675571X""","=""9781476755717""",5,4.44,Simon & Schuster,Hardcover,380,2015,2015,2018/01/01,2018/11/21,,,read,Excellent,,,1,0
23546676,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,"Popper, Nathaniel",,"=""0062362496""","=""9780062362490""",0,4.15,Harper,Hardcover,416,2015,2015,2018/01/01,2018/08/10,,,read,,,,1,0
16213,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard   Preston,"Preston, Richard",,"=""0385495226""","=""9780385495226""",4,4.16,Anchor Books,Paperback,352,1999,1994,2018/07/28,2018/07/23,,,read,,,,1,0
